year,month,average temperature for the month,highest temp in month,lowest temp in month,precipitation,normal average temp,normal average precipitation
1982,6,15.4, , ,2,16.8,3.1
1982,7,16.5, , ,0,17.5,0.1
1982,8,17.4, , ,0,18,1.1
1982,9,17.8, , ,25,18.2,4.4
1982,10,16.2, , ,50,16.4,22.8
1982,11,11.3, , ,136,13.2,58.6
1982,12,9.4, , ,101,10.3,103.5
1983,1,8.9, , ,174,10.1,100.7
1983,2,11.9, , ,168,11.6,105.8
1983,3,12.3, , ,216,12.7,70.3
1983,4,12.6, , ,79,13.8,32.3
1983,5,14.3, , ,8,15.3,14.4
1983,6,16.4, , ,0,16.8,3.1
1983,7,18.4, , ,0,17.5,0.1
1983,8,19.4, , ,0,18,1.1
1983,9,20.2, , ,15,18.2,4.4
1983,10,18.1, , ,3,16.4,22.8
1983,11,13.1, , ,153,13.2,58.6
1983,12,11.9, , ,158,10.3,103.5
1984,1,10.7, , ,12,10.1,100.7
1984,2,11.6, , ,37,11.6,105.8
1984,3,13.9, , ,35,12.7,70.3
1984,4,13.3, , ,17,13.8,32.3
1984,5,16.7, , ,0,15.3,14.4
1984,6,16.3, , ,1,16.8,3.1
1984,7,18.7, , ,0,17.5,0.1
1984,8,17.9, , ,3,18,1.1
1984,9,20.9, , ,1,18.2,4.4
1984,10,15.8, , ,50,16.4,22.8
1984,11,12.1, , ,155,13.2,58.6
1984,12,8.8, , ,48,10.3,103.5
1985,1,8, , ,19,10.1,100.7
1985,2,11, , ,60,11.6,105.8
1985,3,10.8, , ,84,12.7,70.3
1985,4,15, , ,3,13.8,32.3
1985,5,15, , ,13,15.3,14.4
1985,6,18.4, , ,7,16.8,3.1
1985,7,18.2, , ,1,17.5,0.1
1985,8,17.8, , ,1,18,1.1
1985,9,17.2, , ,5,18.2,4.4
1985,10,15.9, , ,18,16.4,22.8
1985,11,11.1, , ,81,13.2,58.6
1985,12,8.3, , ,41,10.3,103.5
1986,1,12.2, , ,103,10.1,100.7
1986,2,13.5, , ,207,11.6,105.8
1986,3,13.9, , ,148,12.7,70.3
1986,4,13.4, , ,10,13.8,32.3
1986,5,14.8, , ,4,15.3,14.4
1986,6,17.2, , ,0,16.8,3.1
1986,7,16.9, , ,3,17.5,0.1
1986,8,16.1, , ,0,18,1.1
1986,9,17.2, , ,12,18.2,4.4
1986,10,16.1, , ,1,16.4,22.8
1986,11,13.9, , ,2,13.2,58.6
1986,12,10, , ,42,10.3,103.5
1987,1,9.4, , ,71,10.1,100.7
